day_of month,name,info
4,Carl Linhart,", 92, Czechoslovakian-born American baseball player (Detroit Tigers)."
4,Tom Matchick,", 78, American baseball player (Detroit Tigers, Kansas City Royals, Milwaukee Brewers), World Series champion (1968), complications from COVID-19."
4,María Mérida,", 96, Spanish folk singer."
4,Andreas Michalopoulos,", 73, Greek footballer (Panachaiki, national team)."
4,Irma Mico,", 107, Austro-Hungarian-born French resistance fighter."
4,Henny Orri,", 96, Dutch actress (, )."
4,Darryl Owens,", 84, American politician, member of the Kentucky House of Representatives (2005–2019)."
4,Craig Ruddy,", 53, Australian artist, complications from COVID-19."
4,Sindhutai Sapkal,", 73, Indian social worker, heart attack."
4,Darwin Semotiuk,", 76, Canadian football coach (Western Mustangs) and basketball player (national team), complications from sepsis."
4,Stelios Serafidis,", 86, Greek football player (AEK Athens, national team) and coach, cancer."
4,Keishu Tanaka,", 83, Japanese politician, minister of justice (2012) and three-time MP."
5,Josephine Abercrombie,", 95, American horse breeder."
5,Francisco Álvarez Martínez,", 96, Spanish Roman Catholic cardinal, bishop of Tarazona (1973–1976) and Orihuela-Alicante (1989–1995), archbishop of Toledo (1995–2002)."
5,Lowell Amos,", 79, American convicted murderer."
5,Rose Beauchamp,", 75, New Zealand puppeteer and pianist."
5,Enrico Berti,", 86, Italian philosopher."
5,Robert Blust,", 81, American linguist, cancer."
5,Lawrence Brooks,", 112, American supercentenarian, nation's oldest living man and oldest WWII veteran."
5,Bill Bryden,", 79, Scottish theatre and film director."
5,Dale Clevenger,", 81, American horn player, Grammy winner (1994, 2001), complications from Waldenstrom's disease."
5,Antoni Dalmau,", 70, Spanish politician and writer, member of the Catalan parliament (1988–1999) and president of the Provincial Deputation of Barcelona (1982–1987)."
5,Alyaksandr Fyedarovich,", 48, Belarusian football player (BATE Borisov, Dnepr Mogilev, Naftan Novopolotsk) and coach."
5,Valeriy Gorbach,", 53, Tajik footballer (Fakel Voronezh, Lokomotiv Liski, national team), heart failure."
5,Keith Goullet,", 89, Australian footballer (North Melbourne)."
5,Mohamed Hilmi,", 90, Algerian film director and actor."
5,Filza Khamidullin,", 86, Russian economist and politician, senator (2003–2005)."
5,Kim Mi-soo,", 29, South Korean actress (, , )."
5,Jack Kissane,", 92, Irish Gaelic footballer (Galway) and brigadier general."
5,Saleh Al-Luhaidan,", 89, Saudi Arabian Islamic scholar."
5,Marian Machowski,", 89, Polish footballer (Wisła Kraków, national team)."
5,John Moriarty,", 91, American conductor."
5,Ralph Neely,", 78, American football player (Dallas Cowboys), Super Bowl champion (1972, 1978)."
5,Neil Nongkynrih,", 51, Indian pianist, founder of Shillong Chamber Choir."
5,Anatole Novak,", 84, French road bicycle racer."
5,Siiri Perälä,", 28, Finnish futsal player, B-cell lymphoma."
5,Aiyappan Pillai,", 107, Indian lawyer and politician, heart disease."
5,Sir Allan Ramsay,", 84, British diplomat, ambassador to Lebanon (1988–1990), Sudan (1990–1991) and Morocco (1992–1996)."
5,Greg Robinson,", 70, American football coach (Syracuse University, UCLA Bruins, Denver Broncos), complications from Alzheimer's disease."
5,George Rossi,", 60, Scottish actor (, , ), pancreatic cancer."
5,Peter Saville,", 75, British psychologist."
5,Shahid Uddin Ahmed Selim,", 69, Bangladeshi footballer (Brothers Union, national team), oral cancer."
5,Mircea Stoenescu,", 78, Romanian footballer (Dinamo București) and referee."
5,Arnljot Strømme Svendsen,", 100, Norwegian economist, politician, and writer."
5,Olga Szabó-Orbán,", 83, Romanian fencer, Olympic silver medallist (1956)."
5,Frank H. Wadsworth,", 106, American forester and conservationist."
6,Peter Bogdanovich,", 82, American film director (, , ), actor and writer, complications from Parkinson's disease."
6,Ray Boyle,", 98, American actor (, ) and production designer ()."
6,José Cardoso Dutra,", 84, Brazilian politician, deputy (1987–1995), cardiac arrest."
6,Maria Victoria Carpio-Bernido,", 60, Filipino physicist, colon cancer."
6,Gritakumar E. Chitty,", 82, Sri Lankan jurist and diplomat."
6,A. Jamie Cuticchia,", 55, American geneticist, cancer."
6,Bob Falkenburg,", 95, American Hall of Fame tennis player and businessman, founder of Bob's."
6,Vladimir Gudev,", 81, Russian diplomat, Soviet ambassador to Iran (1987–1993), Egypt (1995–2000) and Georgia (2000–2002)."
